epoch,train_loss,train_positive_cosine,train_mean_pairwise_cosine,probe_train_accuracy,probe_train_f1_macro,probe_val_accuracy,probe_val_f1_macro,selection_metric,selection_tiebreak,best_metric_seen_so_far,selection_metric_tolerance,selected_as_best,selection_reason
1,4.643609255552292,0.8647084847530898,0.6509422183255938,0.8578666666666667,0.8580053420589874,0.7271428571428571,0.7248258987389421,0.7248258987389421,0.7271428571428571,0.7248258987389421,0.005,1,first_checkpoint
2,4.4839436359265274,0.9423609595088398,0.6612663974656778,0.886,0.8860619027951548,0.7233333333333334,0.7209736823285419,0.7209736823285419,0.7233333333333334,0.7248258987389421,0.005,1,within_metric_tolerance_lower_loss
3,4.407578007263296,0.9529333796133014,0.6415493128930821,0.9118666666666667,0.911931781873767,0.710952380952381,0.7071214868777357,0.7071214868777357,0.710952380952381,0.7248258987389421,0.005,0,outside_metric_tolerance
4,4.345092349192676,0.9565295250538517,0.6169966910691822,0.9188,0.9188268580794746,0.7371428571428571,0.7354693115282752,0.7354693115282752,0.7371428571428571,0.7354693115282752,0.005,1,new_best_downstream_metric
5,4.291126031209441,0.959074417457861,0.5961008056559983,0.9316,0.9315967758622635,0.7233333333333334,0.7205192637987702,0.7205192637987702,0.7233333333333334,0.7354693115282752,0.005,0,outside_metric_tolerance
6,4.244683710967793,0.9598343944286599,0.578688218313105,0.9388,0.9388104402598406,0.7209523809523809,0.7171914416360204,0.7171914416360204,0.7209523809523809,0.7354693115282752,0.005,0,outside_metric_tolerance
7,4.196177195976762,0.9611738738329971,0.559627374415012,0.9504,0.9503964311834837,0.7314285714285714,0.7279304867280851,0.7279304867280851,0.7314285714285714,0.7354693115282752,0.005,0,outside_metric_tolerance
8,4.157105451997588,0.9622326044037062,0.5397970343337339,0.9568,0.9567749855446478,0.7347619047619047,0.7298495164276804,0.7298495164276804,0.7347619047619047,0.7354693115282752,0.005,0,outside_metric_tolerance
9,4.1209373789675094,0.9633034599177978,0.5229885101537494,0.9546666666666667,0.9546345300433563,0.7147619047619047,0.7067335090631893,0.7067335090631893,0.7147619047619047,0.7354693115282752,0.005,0,outside_metric_tolerance
10,4.0795907544739105,0.9640436426681631,0.5034484079874614,0.9596,0.9595724486334368,0.7233333333333334,0.7172947003477453,0.7172947003477453,0.7233333333333334,0.7354693115282752,0.005,0,outside_metric_tolerance
11,4.047920021064141,0.9653206579387188,0.48752681571332845,0.9646666666666667,0.9646242530936059,0.7271428571428571,0.7205777916912145,0.7205777916912145,0.7271428571428571,0.7354693115282752,0.005,0,outside_metric_tolerance
