epoch,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.8267253759860993,0.6252,0.624592056632681,0.6252000000000001,0.6248583002135101,0.7032151764915103,0.7142857142857143,0.7217733822243751,0.7142857142857143,0.7162727236606764
2,0.6022693557103475,0.746,0.7461832028528659,0.746,0.7460753709751495,0.68862888778959,0.7285714285714285,0.7334591500537657,0.7285714285714286,0.7293452793870765
3,0.5436030380884807,0.7756,0.7763400728349628,0.7756,0.7758880777892161,0.6662636133602687,0.729047619047619,0.746765938835766,0.7290476190476189,0.7271770978182452
4,0.48547158857981365,0.8034666666666667,0.8038296534086857,0.8034666666666667,0.8036083586400141,0.743534756387983,0.7242857142857143,0.72868561216328,0.7242857142857142,0.7223000016073722
5,0.42521000475088755,0.8334666666666667,0.8335217473048919,0.8334666666666667,0.8334917692929285,0.7752887806438264,0.7328571428571429,0.736872087562585,0.7328571428571428,0.7313516548360542
6,0.3975787151654561,0.8432,0.8433465658636029,0.8432000000000001,0.8432576742295345,0.7346776987257458,0.7371428571428571,0.7424591425911528,0.7371428571428571,0.7349608815458666
7,0.3601602647145589,0.8534666666666667,0.8535196484795001,0.8534666666666667,0.8534919647401019,0.7436565830594017,0.7471428571428571,0.7532616756052338,0.747142857142857,0.7473150544279464
8,0.33415223229726154,0.8658666666666667,0.8661001235324474,0.8658666666666667,0.8659575633705817,0.7395702110018049,0.7380952380952381,0.7388112244187613,0.7380952380952381,0.738308909155806
9,0.30932708320617675,0.8826666666666667,0.8828141518418494,0.8826666666666667,0.8827144763495879,0.755103075844901,0.7490476190476191,0.7520522388486542,0.7490476190476191,0.7476899773706392
10,0.27725470180511474,0.8937333333333334,0.8937167573633401,0.8937333333333334,0.8937247625636161,0.8899462263924734,0.7176190476190476,0.7242556759152805,0.7176190476190477,0.7155790715920766
11,0.26290449663798016,0.9016,0.9016336160869874,0.9016000000000001,0.9016152828070062,0.7828121057010833,0.74,0.7483744811058443,0.7400000000000001,0.7362955094176925
12,0.23687205877304077,0.9128,0.9128381703885019,0.9128,0.9128177029594204,0.8259542315346854,0.7371428571428571,0.7398026381788734,0.7371428571428572,0.7328822126022071
13,0.2247393538236618,0.9118666666666667,0.9118323651153407,0.9118666666666666,0.9118451033778031,0.8985452958515712,0.7114285714285714,0.7180862815157286,0.7114285714285714,0.7067922332328447
14,0.21979101724624633,0.9197333333333333,0.9198115565673449,0.9197333333333333,0.9197633228253453,0.9424048301151821,0.729047619047619,0.7301983446054114,0.729047619047619,0.7280121676620617
15,0.189994245103995,0.928,0.9280113287708879,0.9279999999999999,0.9280051919653337,0.8481151259513129,0.7447619047619047,0.744993542183883,0.7447619047619046,0.7447529610378849
16,0.17849950385093688,0.9321333333333334,0.9321727562481339,0.9321333333333334,0.9321486499667749,0.9621870111283802,0.7342857142857143,0.7367120924619188,0.7342857142857143,0.7331939137964488
17,0.17897904665470124,0.9361333333333334,0.9361092041489686,0.9361333333333333,0.9361151920141522,0.9947511205219087,0.7114285714285714,0.7183873094698593,0.7114285714285714,0.7104698434327585
18,0.16248823238213858,0.9414666666666667,0.9414474544453696,0.9414666666666666,0.9414521497512065,0.944942239693233,0.7395238095238095,0.7419135333247052,0.7395238095238095,0.7394198879928235
19,0.1458365556716919,0.9470666666666666,0.9470926532717682,0.9470666666666667,0.9470773790960423,0.9660323726563227,0.7347619047619047,0.738782048119989,0.7347619047619048,0.7318579264672159
20,0.1374349849919478,0.9514666666666667,0.9515123743033896,0.9514666666666667,0.9514775299005599,0.9176830341702416,0.7438095238095238,0.7459185948474363,0.7438095238095238,0.7428102831621047
