epoch,stage,stage_epoch,encoder_frozen,encoder_mode,encoder_lr,classifier_lr,weight_decay,early_stopping_patience,epochs_without_improvement,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
13,last_block_finetune,6,0,last_block,1e-05,0.0001,0.0001,5,5,0.23584699402252832,0.9158666666666667,0.9163028647896171,0.9159424622550528,0.9159513246728318,0.739274990331559,0.7528571428571429,0.757215500356151,0.752857142857143,0.751289250345403
14,full_finetune,1,0,full,5e-06,5e-05,0.0001,5,0,0.2958476763566335,0.8905333333333333,0.8909412279459912,0.8905982412035843,0.8905959443096894,0.7346102562404814,0.7519047619047619,0.7589031817124048,0.751904761904762,0.7489454551221173
15,full_finetune,2,0,full,5e-06,5e-05,0.0001,5,1,0.27343015308380125,0.8972,0.8980460577292394,0.8971610126032156,0.8972722352722875,0.758577877907526,0.7476190476190476,0.7566283798974499,0.7476190476190476,0.743910472907212
16,full_finetune,3,0,full,5e-06,5e-05,0.0001,5,2,0.26062947940826414,0.9070666666666667,0.9075752573479615,0.9069646003230583,0.9070810963229382,0.7157770227250598,0.75,0.7547565643232649,0.75,0.7473293483878954
17,full_finetune,4,0,full,5e-06,5e-05,0.0001,5,0,0.24191536728541058,0.9112,0.9115315453533408,0.9111748329215891,0.9112010820656335,0.7111086281140645,0.7557142857142857,0.7603905270460806,0.7557142857142857,0.753964554360949
18,full_finetune,5,0,full,5e-06,5e-05,0.0001,5,1,0.24610841859181723,0.9093333333333333,0.9097036175392704,0.9093722896557185,0.9094116707936504,0.7608812400272914,0.7490476190476191,0.7541982537215035,0.7490476190476191,0.7456011243268786
19,full_finetune,6,0,full,5e-06,5e-05,0.0001,5,2,0.23851114921569824,0.9086666666666666,0.9092617421483009,0.9085702197886398,0.9087248952309146,0.8217425764174688,0.7414285714285714,0.7521717327869291,0.7414285714285714,0.7360903745327386
20,full_finetune,7,0,full,5e-06,5e-05,0.0001,5,3,0.22982591530481974,0.9184,0.9187602118831254,0.9185396372343878,0.9185396510021183,0.775927103701092,0.75,0.7570541570289957,0.75,0.7467910902608663
21,full_finetune,8,0,full,5e-06,5e-05,0.0001,5,4,0.21300515478452048,0.9208,0.9211017057520303,0.9207831811125224,0.9207937294483971,0.7862355032421293,0.7485714285714286,0.755597924519833,0.7485714285714286,0.7454594106456276
22,full_finetune,9,0,full,5e-06,5e-05,0.0001,5,0,0.21486092937390008,0.9228,0.922971703085082,0.9229290750919508,0.9228964378578218,0.769318775563013,0.758095238095238,0.7627809425742668,0.7580952380952382,0.7560413057909369
23,full_finetune,10,0,full,5e-06,5e-05,0.0001,5,1,0.21600679353078206,0.9218666666666666,0.9224196609873605,0.921686153757956,0.9218789411164455,0.7874640677088783,0.7495238095238095,0.7558321222581794,0.7495238095238096,0.7456760569694989
